City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ust-nera,64.5667,143.2,285.53,31,25,0.96,RU,1717982488
84,leninskoye,41.7589,69.3864,296.71,38,37,1.22,KZ,1717982488
85,hawaiian paradise park,19.5933,-154.9731,300.88,68,0,3.6,US,1717982489
86,at taj,24.2049,23.2857,299.52,24,0,4.1,LY,1717982489
87,st. paul,44.9444,-93.0933,292.89,61,100,5.66,US,1717982366
88,kismayo,-0.3582,42.5454,299.1,79,44,8.52,SO,1717982490
89,mutoko,-17.397,32.2268,278.92,86,2,1.77,ZW,1717982491
90,condoto,5.0935,-76.6497,297.64,96,93,1.36,CO,1717982491
91,klyuchi,52.2667,79.1667,293.32,82,100,3.8,RU,1717982492
92,altai,46.3722,96.2583,286.77,57,14,1.59,MN,1717982493
93,shebekino,50.4097,36.9136,289.83,76,100,1.95,RU,1717982493
94,bitkine,11.9801,18.2138,301.71,53,83,5.83,TD,1717982494
95,calvinia,-31.4707,19.776,283.45,52,9,4.13,ZA,1717982494
96,wailua homesteads,22.0669,-159.378,302.39,71,0,6.17,US,1717982495
97,neryungri,56.6709,124.6491,289.37,62,100,2.04,RU,1717982495
98,udachny,66.4167,112.4,294.51,32,42,4.26,RU,1717982496
99,jijiga,9.35,42.8,289.68,77,90,6.46,ET,1717982496
100,codrington,-38.2667,141.9667,284.22,64,100,4.71,AU,1717982497
101,nizhneudinsk,54.9076,99.0276,289.27,72,42,2.47,RU,1717982497
102,vilyuchinsk,52.9306,158.4028,292.3,72,97,2.91,RU,1717982498
103,talcahuano,-36.7167,-73.1167,286.97,88,75,8.23,CL,1717982415
104,aasiaat,68.7098,-52.8699,274.25,99,100,3.7,GL,1717982499
105,thompson,55.7435,-97.8558,292.24,26,20,2.57,CA,1717982499
106,cabo san lucas,22.8909,-109.9124,300.32,72,0,5.81,MX,1717982289
107,georgetown,5.4112,100.3354,301.11,83,20,3.09,MY,1717982384
108,gitega,-3.5,29.95,286.32,69,19,1.63,BI,1717982501
109,angaur state,6.906,134.13,301.9,72,37,1.75,PW,1717982501
110,selkirk,50.1436,-96.8845,292.19,65,0,2.33,CA,1717982502
111,kununurra,-15.7667,128.7333,297.14,33,0,5.66,AU,1717982503
112,invercargill,-46.4,168.35,282.05,75,1,4.92,NZ,1717982503
113,college,64.8569,-147.8028,301.52,21,75,1.54,US,1717982504
114,nikolayevsk-on-amure,53.1406,140.73,283.27,97,100,1.79,RU,1717982504
115,kingston,17.997,-76.7936,302.68,66,20,7.2,JM,1717982261
116,sunzha,43.3211,45.0522,292.31,92,100,3.13,RU,1717982506
117,emboscada,-25.15,-57.35,295.85,81,0,0.0,PY,1717982506
118,tura,25.5198,90.2201,300.1,88,6,1.62,IN,1717982507
119,berezovo,63.9381,65.0419,289.95,63,12,4.05,RU,1717982437
120,kupang,-10.1667,123.5833,304.47,66,20,7.2,ID,1717982508
121,jamestown,42.097,-79.2353,288.92,95,100,3.09,US,1717982433
122,loreto,22.2667,-101.9667,299.9,26,100,0.55,MX,1717982509
123,touros,-5.1989,-35.4608,298.6,81,87,6.19,BR,1717982509
124,west island,-12.1568,96.8225,301.14,83,40,3.6,CC,1717982510
125,rahimah,26.7079,50.0619,301.27,79,0,3.86,SA,1717982511
126,surgut,61.25,73.4167,292.25,42,0,2.0,RU,1717982439
127,bel ombre,-4.6167,55.4167,301.06,78,40,2.06,SC,1717982512
128,turpan,42.9333,89.1667,307.72,18,6,0.95,CN,1717982512
129,cienaga,11.007,-74.2476,302.22,84,75,2.57,CO,1717982513
130,nar'yan-mar,67.6713,53.087,274.88,87,100,4.47,RU,1717982513
131,qusmuryn,52.4503,64.6311,289.98,89,95,5.1,KZ,1717982514
132,kirillov,59.863,38.3813,287.03,71,100,3.5,RU,1717982514
133,ritchie,-29.038,24.6028,279.71,55,11,3.17,ZA,1717982515
134,nyagan,62.1406,65.3936,290.65,56,100,2.15,RU,1717982515
135,al hudaydah,14.7978,42.9545,302.69,64,6,1.15,YE,1717982516
136,fort bragg,35.139,-79.006,302.9,58,100,2.06,US,1717982517
137,nuuk,64.1835,-51.7216,277.49,93,100,13.89,GL,1717982517
